2024-07-26 | locação ou fretamento de veículos automotores | 7449.0 | adail filho | republicanos | am
2024-07-26 | manutenção de escritório de apoio à atividade parlamentar | 4837.75 | adail filho | republicanos | am
2024-07-27 | combustíveis e lubrificantes. | 200.0 | aj albuquerque | pp | ce
2024-07-27 | manutenção de escritório de apoio à atividade parlamentar | 117.45 | abilio brunini | pl | mt
2024-07-28 | combustíveis e lubrificantes. | 300.0 | airton faleiro | pt | pa
2024-07-29 | hospedagem ,exceto do parlamentar no distrito federal. | 197.0 | aécio neves | psdb | mg
2024-07-29 | combustíveis e lubrificantes. | 428.23 | aguinaldo ribeiro | pp | pb
2024-07-29 | manutenção de escritório de apoio à atividade parlamentar | 2588.0 | adriana ventura | novo | sp
2024-07-29 | manutenção de escritório de apoio à atividade parlamentar | 1615.2 | adolfo viana | psdb | ba
2024-07-29 | manutenção de escritório de apoio à atividade parlamentar | 4179.1900000000005 | abilio brunini | pl | mt
2024-07-29 | manutenção de escritório de apoio à atividade parlamentar | 1062.25 | adail filho | republicanos | am
2024-07-29 | manutenção de escritório de apoio à atividade parlamentar | 495.14 | adilson barroso | pl | sp
2024-07-30 | divulgação da atividade parlamentar. | 5500.0 | alberto mourão | mdb | sp
2024-07-30 | manutenção de escritório de apoio à atividade parlamentar | 3217.6 | acácio favacho | mdb | ap
2024-07-30 | manutenção de escritório de apoio à atividade parlamentar | 890.0 | adriana ventura | novo | sp
2024-07-30 | combustíveis e lubrificantes. | 321.22 | aj albuquerque | pp | ce
2024-07-30 | combustíveis e lubrificantes. | 150.0 | adolfo viana | psdb | ba
2024-07-30 | manutenção de escritório de apoio à atividade parlamentar | 2109.57 | abilio brunini | pl | mt
2024-07-30 | combustíveis e lubrificantes. | 200.03 | adail filho | republicanos | am
2024-07-30 | manutenção de escritório de apoio à atividade parlamentar | 1776.32 | adail filho | republicanos | am
2024-07-31 | manutenção de escritório de apoio à atividade parlamentar | 680.74 | acácio favacho | mdb | ap
2024-07-31 | combustíveis e lubrificantes. | 236.2 | airton faleiro | pt | pa
2024-07-31 | divulgação da atividade parlamentar. | 5000.0 | adriana ventura | novo | sp
2024-07-31 | manutenção de escritório de apoio à atividade parlamentar | 55.79 | adolfo viana | psdb | ba
2024-07-31 | manutenção de escritório de apoio à atividade parlamentar | 841.6 | abilio brunini | pl | mt
2024-07-31 | manutenção de escritório de apoio à atividade parlamentar | 4581.28 | adail filho | republicanos | am
2024-08-01 | combustíveis e lubrificantes. | 1166.84 | alberto fraga | pl | df
2024-08-01 | serviço de táxi, pedágio e estacionamento | 15.97 | alberto fraga | pl | df
2024-08-01 | telefonia | 179.64 | alberto fraga | pl | df
2024-08-01 | combustíveis e lubrificantes. | 8960.38 | aécio neves | psdb | mg
2024-08-01 | hospedagem ,exceto do parlamentar no distrito federal. | 585.0 | aécio neves | psdb | mg
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 6706.98 | aécio neves | psdb | mg
2024-08-01 | passagem aérea - sigepa | -1571.54 | aécio neves | psdb | mg
2024-08-01 | serviço de segurança prestado por empresa especializada. | 318.67 | aécio neves | psdb | mg
2024-08-01 | telefonia | 254.99 | aécio neves | psdb | mg
2024-08-01 | combustíveis e lubrificantes. | 5328.15 | alberto mourão | mdb | sp
2024-08-01 | divulgação da atividade parlamentar. | 500.0 | alberto mourão | mdb | sp
2024-08-01 | fornecimento de alimentação do parlamentar | 49.6 | alberto mourão | mdb | sp
2024-08-01 | locação ou fretamento de veículos automotores | 12500.0 | alberto mourão | mdb | sp
2024-08-01 | passagem aérea - sigepa | -1432.99 | alberto mourão | mdb | sp
2024-08-01 | serviço de táxi, pedágio e estacionamento | 16.92 | alberto mourão | mdb | sp
2024-08-01 | combustíveis e lubrificantes. | 7633.23 | adriano do baldy | pp | go
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 5663.1900000000005 | adriano do baldy | pp | go
2024-08-01 | passagem aérea - sigepa | -1318.67 | adriano do baldy | pp | go
2024-08-01 | combustíveis e lubrificantes. | 3023.6 | afonso hamm | pp | rs
2024-08-01 | divulgação da atividade parlamentar. | 2000.0 | afonso hamm | pp | rs
2024-08-01 | hospedagem ,exceto do parlamentar no distrito federal. | 145.0 | afonso hamm | pp | rs
2024-08-01 | manutenção de escritório de apoio à atividade parlamentar | 5091.91 | afonso hamm | pp | rs
2024-08-01 | passagem aérea - sigepa | -3398.9399999999996 | afonso hamm | pp | rs
2024-08-01 | combustíveis e lubrificantes. | 5436.8 | aguinaldo ribeiro | pp | pb
2024-08-01 | divulgação da atividade parlamentar. | 23679.9 | aguinaldo ribeiro | pp | pb
